AAPL weight,MSFT weight,XOM weight,JNJ weight,JPM weight,AMZN weight,GE weight,FB weight,T weight,Returns,Volatility
5.25E-05,0.263109748,0.007022313,0.040087065,2.66E-05,0.024316061,0.355898775,0.299399548,0.010087383,0.127452587,0.171564588
0.042360033,0.034922454,0.07935546,0.04305675,0.001435326,0.202032153,0.225923875,0.36232395,0.008589999,0.138613863,0.182723102
0.207824125,0.002131747,0.005982273,0.041656779,0.007498043,0.406642248,0.064929249,0.229260039,0.034075496,0.155952232,0.201184523
0.096564623,0.016775023,0.118409461,0.037724854,0.020013109,0.045195246,0.51228233,0.153014973,2.04E-05,0.118786815,0.148958409
0.13130934,0.002733386,0.002359739,0.047573184,0.050633441,0.289410334,0.313717076,0.157122662,0.005140838,0.138303769,0.171472549
0.03021665,0.004305368,0.107713763,0.02910653,0.029902841,0.188373204,0.269349756,0.33292695,0.008104938,0.142316154,0.175777208
0.0076551,0.16903814,0.02311366,0.032340067,0.004398299,0.085970065,0.263037773,0.360286987,0.054159909,0.142177874,0.175247939
0.169201269,0.209762069,0.012898795,0.021551846,0.005978285,0.319980841,0.227701908,0.025310223,0.007614764,0.143906919,0.176765868
0.268995841,0.053900269,0.002832846,0.02543234,0.008408255,0.322627444,0.148875538,0.13910515,0.029822317,0.149416785,0.182562721
0.021353146,0.069280974,0.014999171,0.036764216,0.059346969,0.134356104,0.309673363,0.332524516,0.021701542,0.142920906,0.174061711
0.167405993,0.018348484,0.02524138,0.113060088,0.02319967,0.30908328,0.053149328,0.288905959,0.001605817,0.156731807,0.190583015
0.094205206,0.146557012,0.01040183,0.019582581,0.062857232,0.273788204,0.084982834,0.293374181,0.014250919,0.166175047,0.194416423
0.012776786,0.053917857,0.019865615,0.034818749,0.039258815,0.304744608,0.08183023,0.350322634,0.102464706,0.172651608,0.194298465
0.000444605,0.087763749,0.051640535,0.062312534,0.099402895,0.282946485,0.064835967,0.341586893,0.009066337,0.176662539,0.19550478
0.105286814,0.22307856,0.055845236,0.046821787,0.033897848,0.386452052,0.016693244,0.112212075,0.019712383,0.174546686,0.193093162
0.010112534,0.126161003,0.029104927,0.010523592,0.126613589,0.27047447,0.073727149,0.31711573,0.036167006,0.185698788,0.194160051
0.032162883,0.287307263,0.066092489,0.026823169,0.023732398,0.376691567,0.007952724,0.101803541,0.077433966,0.184273041,0.190771485
0.044244179,0.01905066,0.047196219,0.000224707,0.178764104,0.340812833,0.047945918,0.304241378,0.017520003,0.196063529,0.20065165
0.048785147,0.356972517,0.013200882,0.000384306,0.129509025,0.334926451,0.037674548,0.056397292,0.022149834,0.195746332,0.193360487
0.14539882,0.065249636,0.058788502,0.27856497,0.003621986,0.000904485,0.134287743,0.027738401,0.285445457,0.196001604,0.114976333
0.046151331,0.058438621,0.089947283,0.220340186,0.024723333,0.047715749,0.184019301,0.023657883,0.305006312,0.20085413,0.115661711
0.081322487,0.106610601,0.048776397,0.320338401,0.050057013,0.005624535,0.088307849,0.034961,0.264001717,0.208320855,0.115262365
0.089644252,0.044089438,0.114275928,0.258648306,0.053039024,0.036644398,0.115700726,0.020322026,0.267635902,0.209498517,0.115423928
0.050342695,0.049275907,0.061947028,0.364314155,0.018870816,0.071618924,0.01195878,0.065183677,0.306488018,0.214582829,0.115505966
0.038888252,0.088030431,0.051176934,0.35130298,0.029852816,0.067091627,0.050649665,0.00855689,0.314450406,0.215591136,0.114129285
0.055275534,0.128181872,0.103368102,0.34272691,0.020867195,0.008433586,0.002396096,0.044545513,0.294205193,0.218555864,0.114868555
0.02432071,0.044714456,0.003673013,0.307706154,0.056154129,0.001023712,0.062752528,0.126369218,0.373286081,0.223496421,0.115623715
0.086586217,0.015224722,0.045222911,0.340999381,0.028686457,0.034817584,0.069758891,0.01879761,0.359906228,0.218121234,0.111670387
0.09550802,0.023499493,0.091694185,0.329481749,0.092722936,0.039611979,0.0068916,0.048433451,0.272156587,0.227840607,0.115615302
0.009148553,0.007765837,0.115405208,0.209484046,0.25613796,0.005153405,0.016759665,0.11898515,0.261160176,0.262068953,0.12860899
0.030006301,0.024362021,0.190152298,0.042506941,0.205224991,0.021725093,0.103489003,0.027644767,0.354888583,0.262002997,0.128491728
0.057231549,0.061136406,0.068662833,0.192166601,0.296905716,0.033932965,0.028918693,0.008425947,0.25261929,0.268654618,0.131688945
0.019615724,0.057627757,0.093644345,0.124549308,0.230819881,0.041911433,0.058658838,0.058874432,0.314298282,0.260649905,0.127690688
0.018652034,0.045599443,0.166631103,0.213154009,0.161138497,0.043603717,0.048968217,0.006319124,0.295933856,0.24843437,0.120812717
0.123057757,0.030524565,0.024123228,0.228752893,0.184660002,0.072267757,0.008572948,0.013285397,0.314755453,0.251107271,0.122065062
0.015458486,0.017237368,0.192526456,0.199120732,0.198919494,0.055857402,0.032069618,0.004464847,0.284345597,0.257856272,0.124360374
0.031254313,0.002058356,0.072222093,0.266291037,0.194562501,0.049253321,0.065226676,0.005183104,0.313948598,0.250673909,0.119374651
0.085197756,0.057888457,0.084808785,0.243223284,0.160695792,0.003359539,0.003773628,0.04042369,0.320629069,0.251112365,0.118427603
0.007553693,0.005732549,0.007244464,0.166723794,0.382355781,0.017940648,0.0103131,0.011254435,0.390881536,0.306115431,0.134825153
