"Date","Open","High","Low","Close","Volume","Adjusted"
2000-01-03,88.777,89.722,84.712,58.28125,53228400,38.527809
2000-01-04,85.893,88.588,84.901,56.3125,54119000,37.226345
2000-01-05,84.05,88.021,82.726,56.90625,64059600,37.618851
2000-01-06,84.853,86.13,81.97,55,54976600,36.358688
2000-01-07,82.159,84.901,81.166,55.71875,62013600,36.833828
2000-01-10,85.799,85.988,84.239,56.125,44963600,37.102375
2000-01-11,84.333,86.413,82.206,54.6875,46743600,36.152111
2000-01-12,82.064,82.348,78.992,52.90625,66532400,34.974583
2000-01-13,78.944,82.159,76.77,53.90625,83144000,35.635647
2000-01-14,81.072,86.177,79.984,56.125,73416400,37.102375
2000-01-18,84.57,88.115,84.522,57.65625,81483600,38.114639
2000-01-19,83.577,84.333,80.173,53.5,97568200,35.367077
2000-01-20,80.977,82.962,80.079,53,56349800,35.036545
2000-01-21,80.93,81.119,78.093,51.875,68416200,34.292847
2000-01-24,78.507,79.937,76.25,50.625,63597600,33.46653
2000-01-25,76.392,78.566,75.304,51.40625,59823200,33.982975
2000-01-26,77.479,78.283,74.974,49.6875,49365000,32.846752
2000-01-27,75.553,76.533,73.555,49.375,63654800,32.640179
2000-01-28,74.217,75.824,73.555,49.125,58225400,32.474907
2000-01-31,73.839,74.264,71.759,48.9375,73194200,32.350964
2000-02-01,74.501,78.093,73.886,51.46875,70196600,34.024292
2000-02-02,77.479,78.613,76.013,50.40625,49915600,33.321915
2000-02-03,77.195,78.803,75.73,51.8125,49186000,34.251526
2000-02-04,78.944,81.686,78.767,53.28125,55365400,35.222481
2000-02-07,80.788,80.835,78.85,53.3125,40005800,35.243145
2000-02-08,80.504,83.199,80.504,54.96875,56229000,36.338017
2000-02-09,82.773,82.773,78.566,52,55090000,34.375488
2000-02-10,78.578,80.599,77.526,53,54527800,35.036545
2000-02-11,79.323,79.323,74.974,49.96875,115559000,33.032684
2000-02-14,76.569,76.959,74.926,49.8125,81028600,32.92939
2000-02-15,75.446,75.635,74.217,49.28125,71027600,32.578201
2000-02-16,75.068,75.777,73.461,48.8125,65202600,32.268345
2000-02-17,74.501,75.399,73.473,49.8125,80343400,32.92939
2000-02-18,75.635,75.683,71.759,47.53125,79063000,31.421335
2000-02-22,71.948,73.461,70.199,46.90625,66296200,31.008169
2000-02-23,70.719,72.421,69.632,47.125,75847200,31.152781
2000-02-24,71.286,72.515,69.584,47.375,69733200,31.318052
2000-02-25,71.617,71.629,68.45,45.65625,65301400,30.181841
2000-02-28,68.261,69.679,66.654,45.78125,76131800,30.264479
2000-02-29,69.395,69.395,67.221,44.6875,58437400,29.541435
2000-03-01,67.788,71.168,67.268,45.40625,106889800,30.016577
2000-03-02,69.443,72.137,68.923,46.6875,106932600,30.863571
2000-03-03,71.664,74.784,71.003,48.0625,101435200,31.772532
2000-03-06,72.61,73.65,68.166,45.3125,93609400,29.954609
2000-03-07,72.704,73.744,69.537,46.4375,135061000,30.698305
2000-03-08,70.955,72.752,68.828,47.78125,94290000,31.586607
2000-03-09,72.09,75.635,71.854,50,88198800,33.053356
2000-03-10,75.304,77.526,75.257,50.5,85589000,33.383892
2000-03-13,73.839,75.824,73.744,49,61831800,32.392281
2000-03-14,74.595,75.068,71.948,47.5625,73489200,31.441999
2000-03-15,71.523,73.083,70.861,47.6875,53208000,31.524635
2000-03-16,72.563,73.13,70.53,47.6875,77300800,31.524635
2000-03-17,72.043,75.257,71.475,49.6875,81161600,32.846752
2000-03-20,74.69,75.446,72.988,48.6875,47773000,32.185719
2000-03-21,73.177,77.999,72.988,51.375,81648800,33.962303
2000-03-22,77.763,79.89,76.486,51.625,93975800,34.127594
2000-03-23,80.788,85.373,80.646,55.9375,148224000,36.978443
2000-03-24,85.184,86.981,82.868,55.84375,112196800,36.916466
2000-03-27,81.509,81.875,78.613,52.03125,111434000,34.396133
2000-03-28,78.377,81.261,77.432,52.15625,81114400,34.478756
2000-03-29,79.559,82.395,79.512,53.59375,64363800,35.42905
2000-03-30,80.315,82.159,77.526,51.6875,64178400,34.168907
2000-03-31,80.173,81.875,78.755,53.125,64281400,35.119175
2000-04-03,71.428,72.988,68.072,45.4375,260118200,30.037231
2000-04-04,69.254,69.584,64.243,44.28125,181244400,29.272879
2000-04-05,66.748,66.937,64.952,43.1875,82887600,28.549824
2000-04-06,66.465,66.559,64.491,43,66421400,28.425871
2000-04-07,65.803,67.599,64.29,44.53125,82613600,29.438129
2000-04-10,67.032,67.032,65.046,43.03125,60685400,28.446537
2000-04-11,64.385,65.094,63.155,41.9375,71961800,27.72349
2000-04-12,62.115,62.21,59.563,39.6875,153003800,26.236097
2000-04-13,61.17,62.21,59.752,39.625,94316200,26.194767
2000-04-14,59.846,60.13,55.403,37.0625,151217800,24.500799
2000-04-17,56.159,57.483,55.214,37.9375,119772200,25.079226
2000-04-18,57.861,61.974,57.388,40.28125,91794600,26.628595
2000-04-19,61.596,61.643,59.09,39.34375,53715400,26.008852
2000-04-20,59.468,60.414,58.617,39.46875,52387400,26.091484
2000-04-24,50.865,51.432,49.163,33.3125,313645800,22.021793
2000-04-25,51.999,52.567,51.148,34.6875,159517400,22.930761
2000-04-26,52.945,53.796,50.959,34,107091200,22.476274
2000-04-27,51.007,52.897,50.959,34.90625,77669800,23.075371
2000-04-28,53.512,53.701,51.621,34.875,78082600,23.054712
2000-05-01,55.119,55.97,54.221,36.71875,107811000,24.273548
2000-05-02,55.072,55.592,52.567,34.9375,97716200,23.096022
2000-05-03,53.228,53.559,52.047,35.28125,55354800,23.323273
2000-05-04,53.181,53.89,52.425,35.21875,43317200,23.281952
2000-05-05,53.134,54.316,52.85,35.5625,36402200,23.509193
2000-05-08,53.654,53.985,52.708,34.90625,36187600,23.075371
2000-05-09,53.087,53.276,51.054,33.90625,60778400,22.414303
2000-05-10,51.243,51.337,49.73,33.09375,67740000,21.877188
2000-05-11,50.392,51.527,49.73,33.9375,58390800,22.434961
2000-05-12,51.763,52.756,51.621,34.40625,37886000,22.744835
