date	    open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover														
2015-01-30	12.40	12.49	12.06	12.00	83537.52	-0.54	-4.29	12.342	12.058	11.673	93643.37	91672.65	67000.63	2.86
2015-01-29	12.19	12.85	12.60	12.18	117563.07	0.43	3.53	12.430	11.986	11.626	105297.84	87627.71	64685.47	4.02
2015-01-28	12.15	12.40	12.17	12.13	44045.12	-0.14	-1.14	12.364	11.822	11.542	105584.81	77682.67	61094.79	1.51
2015-01-27	12.63	12.67	12.31	12.11	93096.57	-0.26	-2.07	12.372	11.702	11.484	121715.79	75245.47	63177.77	3.19
2015-01-26	12.68	12.95	12.57	12.29	129974.57	0.07	0.56	12.130	11.572	11.442	108359.05	67907.01	62431.53	4.45
2015-01-23	12.10	13.08	12.50	12.07	141809.89	0.23	1.87	11.774	11.406	11.385	89701.93	57783.37	59224.65	4.85
2015-01-22	12.17	12.29	12.27	11.85	118997.92	0.06	0.49	11.542	11.279	11.314	69957.57	48087.53	54731.77	4.07
2015-01-21	11.07	12.21	12.21	11.07	124699.99	1.11	10.00	11.280	11.219	11.235	49780.52	41872.31	51750.19	4.27
2015-01-20	10.97	11.13	11.10	10.90	26312.86	0.31	2.87	11.032	11.190	11.173	28775.14	38070.45	50735.75	0.90
2015-01-19	11.02	11.28	10.79	10.55	36689.00	-0.55	-4.85	11.014	11.241	11.227	27454.97	41359.16	54894.51	1.26
2015-01-16	11.09	11.49	11.34	11.08	43088.08	0.38	3.47	11.038	11.288	11.323	25864.80	42328.62	62072.27	1.47
2015-01-15	10.87	11.01	10.96	10.80	18112.66	-0.01	-0.09	11.016	11.266	11.428	26217.50	41743.24	71608.44	0.62
2015-01-14	11.00	11.13	10.97	10.89	19673.11	-0.04	-0.36	11.158	11.262	11.514	33964.11	44506.92	79254.91	0.67
2015-01-13	10.93	11.03	11.01	10.89	19711.99	0.10	0.92	11.348	11.265	11.585	47365.76	51110.07	87249.09	0.67
2015-01-12	11.08	11.18	10.91	10.81	28738.16	-0.32	-2.85	11.468	11.312	11.648	55263.35	56956.05	109282.42	0.98
2015-01-09	11.68	11.71	11.23	11.19	44851.56	-0.44	-3.77	11.538	11.363	11.682	58792.43	60665.93	107924.27	1.54
2015-01-08	11.70	11.92	11.67	11.64	56845.71	-0.25	-2.10	11.516	11.349	11.647	57268.99	61376.00	105823.50	1.95
2015-01-07	11.58	11.99	11.92	11.48	86681.38	0.31	2.67	11.366	11.251	11.543	55049.74	61628.07	103010.58	2.97
2015-01-06	11.13	11.66	11.61	11.03	59199.93	0.35	3.11	11.182	11.155	11.382	54854.38	63401.05	98686.98	2.03
2015-01-05	11.16	11.39	11.26	10.89	46383.57	0.14	1.26	11.156	11.212	11.198	58648.75	68429.87	97141.81	1.59
